Order Number,Manufacturing Time (days),Delivery Time (days),Units Shipped,Damaged Units,Returns,Supplier,Raw Material Lead Time (days)
ORD1056,4,4,124,0,0,S-3,2
ORD1057,9,2,123,7,4,S-3,5
ORD1058,3,2,184,5,3,S-1,6
ORD1059,9,1,192,7,0,S-3,6
ORD1060,7,3,75,5,2,S-3,2
ORD1061,2,4,188,2,1,S-2,6
ORD1062,4,1,177,7,4,S-3,5
ORD1063,6,2,76,4,1,S-3,3
ORD1064,8,1,184,9,4,S-3,3
ORD1065,4,2,178,4,2,S-1,4
ORD1066,9,3,70,6,2,S-1,2
ORD1067,7,2,128,5,2,S-2,4
ORD1068,6,1,143,8,2,S-1,3
ORD1069,6,3,57,6,0,S-1,2
ORD1070,6,2,132,2,0,S-1,6
ORD1071,5,4,52,4,4,S-1,6
ORD1072,5,2,104,8,0,S-2,5
ORD1073,9,3,192,9,4,S-3,3
ORD1074,8,1,85,1,0,S-3,6
ORD1075,6,3,55,0,0,S-3,2
ORD1076,8,1,170,7,0,S-2,6
ORD1077,2,2,91,7,3,S-1,4
ORD1078,6,2,99,1,2,S-2,4
ORD1079,3,3,161,7,3,S-2,4
ORD1080,6,4,195,4,0,S-2,4
ORD1081,9,2,99,1,0,S-3,4
ORD1082,5,4,79,6,3,S-1,5
ORD1083,5,4,88,6,4,S-3,4
ORD1084,3,3,165,2,2,S-2,5
ORD1085,3,2,189,0,4,S-2,5
ORD1086,4,4,108,3,2,S-3,6
ORD1087,2,2,125,1,1,S-3,2
ORD1088,2,1,181,3,2,S-3,4
ORD1089,9,4,97,7,4,S-1,2
ORD1090,9,3,191,1,2,S-3,3
ORD1091,9,3,130,0,1,S-1,5
ORD1092,9,4,98,2,1,S-1,3
ORD1093,9,2,116,9,0,S-3,5
ORD1094,9,1,126,6,1,S-2,4
ORD1095,2,1,186,5,3,S-2,3
ORD1096,7,3,70,5,4,S-1,6
ORD1097,5,3,154,6,3,S-1,3
ORD1098,2,2,121,7,3,S-1,5
ORD1099,9,3,65,2,4,S-2,5
ORD1100,4,2,193,2,3,S-1,2
ORD1101,4,4,77,9,3,S-1,3
ORD1102,2,1,129,7,3,S-2,6
ORD1103,3,4,106,6,1,S-3,4
ORD1104,4,3,159,9,4,S-2,2
ORD1105,8,1,101,4,4,S-3,3
ORD1106,3,1,133,3,4,S-3,2
ORD1107,8,4,97,5,3,S-1,3
ORD1108,5,2,176,8,1,S-1,4
ORD1109,7,1,147,5,4,S-3,4
ORD1110,4,2,167,7,2,S-1,6
ORD1111,3,4,142,0,4,S-3,2
ORD1112,9,4,116,5,0,S-1,6
ORD1113,8,2,123,1,2,S-2,3
ORD1114,2,4,133,2,4,S-3,4
ORD1115,8,1,59,5,3,S-3,4
ORD1116,8,4,194,1,4,S-1,5
ORD1117,5,4,167,3,1,S-2,5
ORD1118,6,1,146,5,1,S-1,6
ORD1119,6,2,55,4,4,S-2,2
ORD1120,2,4,67,5,3,S-1,3
ORD1121,5,2,121,5,3,S-3,6
ORD1122,5,1,138,7,3,S-2,4
ORD1123,9,2,91,8,4,S-2,4
ORD1124,5,2,53,4,4,S-1,4
ORD1125,5,3,69,5,0,S-2,3
ORD1126,6,3,77,5,1,S-1,6
ORD1127,3,4,153,5,2,S-2,3
ORD1128,5,3,93,1,2,S-1,4
ORD1129,3,3,72,3,1,S-1,5
ORD1130,8,3,96,0,0,S-1,6
ORD1131,8,2,62,0,1,S-3,5
ORD1132,5,2,193,0,0,S-2,6
ORD1133,4,3,144,6,0,S-3,4
ORD1134,7,1,65,0,3,S-3,5
ORD1135,4,3,168,5,1,S-3,5
ORD1136,8,1,166,1,2,S-3,6
ORD1137,7,2,59,5,4,S-2,5
ORD1138,4,1,171,5,4,S-2,5
ORD1139,5,2,87,2,1,S-3,4
ORD1140,3,1,93,7,4,S-2,6
ORD1141,7,2,144,3,0,S-2,6
ORD1142,6,2,123,6,4,S-1,2
ORD1143,2,3,162,3,0,S-2,6
ORD1144,7,4,100,0,0,S-3,4
ORD1145,7,4,101,5,2,S-2,5
ORD1146,6,2,141,4,4,S-3,2
ORD1147,5,3,108,8,2,S-2,5
ORD1148,4,4,62,8,4,S-3,6
ORD1149,4,4,61,7,0,S-2,3
ORD1150,8,3,99,6,4,S-2,5
ORD1151,3,3,106,1,2,S-2,6
ORD1152,5,4,168,7,3,S-3,4
ORD1153,6,4,106,2,2,S-1,6
ORD1154,5,1,57,5,3,S-3,2
ORD1155,5,1,155,9,1,S-2,3
ORD1156,4,2,186,6,2,S-3,3
ORD1157,6,4,169,5,4,S-2,3
ORD1158,9,3,112,4,3,S-2,4
ORD1159,2,3,121,3,4,S-1,3
ORD1160,7,4,180,1,3,S-2,5
ORD1161,4,2,62,8,2,S-2,4
ORD1162,6,3,186,6,2,S-2,6
ORD1163,3,4,101,6,4,S-1,2
ORD1164,7,4,111,3,2,S-3,4
ORD1165,7,2,168,4,4,S-1,2
ORD1166,9,4,158,5,0,S-3,4
ORD1167,9,3,57,1,3,S-2,6
ORD1168,4,1,144,3,4,S-3,2
ORD1169,8,2,174,3,3,S-3,4
ORD1170,3,4,102,3,0,S-3,2
ORD1171,4,2,112,6,3,S-3,3
ORD1172,5,4,144,6,4,S-2,3
ORD1173,8,1,130,6,2,S-1,3
ORD1174,6,2,106,6,3,S-3,5
ORD1175,9,4,196,1,3,S-2,3
ORD1176,3,1,116,4,0,S-2,3
ORD1177,7,3,95,9,1,S-2,6
ORD1178,4,4,143,1,2,S-2,2
ORD1179,9,1,187,4,4,S-3,2
ORD1180,7,1,162,5,0,S-1,3
ORD1181,3,2,142,2,4,S-2,2
ORD1182,9,4,195,5,4,S-1,4
ORD1183,9,3,189,4,3,S-1,3
ORD1184,7,4,98,3,0,S-1,3
ORD1185,4,1,72,9,0,S-2,5
ORD1186,8,3,111,8,2,S-2,4
ORD1187,4,1,60,7,1,S-2,3
ORD1188,2,2,122,6,4,S-1,3
ORD1189,9,4,167,0,2,S-2,2
ORD1190,7,1,137,8,2,S-2,3
ORD1191,2,1,138,8,4,S-1,3
ORD1192,8,4,104,5,3,S-2,3
ORD1193,2,3,58,6,3,S-3,3
ORD1194,7,1,61,2,4,S-3,5
ORD1195,3,4,188,4,0,S-3,4
ORD1196,5,2,162,6,1,S-3,5
ORD1197,8,2,57,0,3,S-1,2
ORD1198,4,4,85,0,1,S-2,6
ORD1199,6,1,174,4,2,S-3,3
ORD1200,8,4,99,8,2,S-3,2
ORD1201,2,4,156,6,4,S-2,6
ORD1202,3,1,58,0,4,S-1,3
ORD1203,7,3,116,4,4,S-3,3
ORD1204,3,3,102,7,3,S-2,6
ORD1205,3,2,131,7,1,S-2,5
ORD1206,7,3,159,1,2,S-3,6
ORD1207,6,4,194,6,1,S-3,6
ORD1208,7,1,102,9,3,S-2,4
ORD1209,6,2,163,4,1,S-2,3
ORD1210,7,3,112,8,1,S-3,3
ORD1211,2,4,192,2,4,S-3,5
ORD1212,6,2,68,0,1,S-3,5
ORD1213,2,1,173,3,1,S-3,4
ORD1214,8,3,135,6,1,S-1,4
ORD1215,6,4,119,0,0,S-2,4
ORD1216,6,1,96,1,2,S-3,5
ORD1217,7,4,157,4,2,S-2,6
ORD1218,6,4,69,8,1,S-3,3
ORD1219,2,4,86,0,4,S-1,3
ORD1220,9,1,179,3,4,S-2,2
ORD1221,8,2,85,2,4,S-1,5
ORD1222,9,4,182,4,2,S-2,5
ORD1223,7,2,113,4,3,S-1,4
ORD1224,4,2,56,9,1,S-3,2
ORD1225,8,3,169,1,2,S-3,2
ORD1226,9,3,71,4,4,S-1,5
ORD1227,8,2,95,8,2,S-3,4
ORD1228,9,3,159,4,2,S-1,3
ORD1229,2,3,95,9,2,S-1,4
ORD1230,9,2,77,1,4,S-2,3
ORD1231,8,1,136,6,3,S-1,5
ORD1232,4,3,84,5,0,S-2,4
ORD1233,3,3,178,6,1,S-1,2
ORD1234,7,1,58,7,1,S-2,6
ORD1235,3,1,58,9,2,S-2,2
ORD1236,7,1,71,4,3,S-3,3
ORD1237,8,2,119,1,4,S-2,5
ORD1238,7,1,190,6,0,S-2,4
ORD1239,9,2,196,6,0,S-1,5
ORD1240,2,4,114,7,2,S-2,5
ORD1241,4,4,189,6,2,S-3,3
ORD1242,7,1,92,9,4,S-1,5
ORD1243,4,1,66,6,4,S-2,4
ORD1244,7,4,117,8,4,S-1,2
ORD1245,4,2,78,7,2,S-1,5
ORD1246,3,2,184,1,3,S-1,4
ORD1247,2,1,93,1,2,S-1,4
ORD1248,7,1,182,6,2,S-1,3
ORD1249,5,1,183,9,0,S-2,5
ORD1250,4,4,56,9,4,S-1,3
ORD1251,4,3,103,2,1,S-1,2
ORD1252,9,1,95,0,4,S-3,2
ORD1253,5,2,187,8,3,S-3,4
ORD1254,2,3,53,2,3,S-1,5
ORD1255,4,2,140,0,4,S-2,4
ORD1256,2,3,110,5,4,S-3,5
ORD1257,4,4,160,3,2,S-3,3
ORD1258,8,3,86,0,1,S-1,2
ORD1259,6,2,52,3,2,S-2,2
ORD1260,8,3,62,7,0,S-2,3
ORD1261,4,4,137,6,0,S-3,6
ORD1262,6,2,125,0,3,S-3,6
ORD1263,7,1,57,9,3,S-3,6
ORD1264,2,3,132,8,1,S-3,5
ORD1265,4,2,58,5,3,S-3,3
ORD1266,9,3,127,1,0,S-1,5
ORD1267,3,4,173,2,1,S-1,5
ORD1268,9,2,195,6,0,S-1,3
ORD1269,3,1,91,2,4,S-3,5
ORD1270,5,1,90,2,4,S-1,3
ORD1271,3,3,138,4,1,S-3,6
ORD1272,6,4,126,2,2,S-2,6
ORD1273,3,4,103,2,3,S-2,5
ORD1274,3,3,146,4,1,S-1,2
ORD1275,3,2,147,4,3,S-2,3
ORD1276,4,2,105,8,0,S-2,4
ORD1277,5,3,149,0,2,S-2,4
ORD1278,2,2,194,0,3,S-1,5
ORD1279,5,2,59,8,4,S-2,2
ORD1280,9,2,93,4,4,S-1,3
ORD1281,6,3,179,3,0,S-3,6
ORD1282,4,1,191,1,1,S-3,5
ORD1283,7,4,179,8,3,S-1,3
ORD1284,4,1,68,5,0,S-1,3
ORD1285,8,2,129,8,4,S-2,3
ORD1286,3,3,138,4,4,S-3,2
ORD1287,9,4,50,3,4,S-2,3
ORD1288,3,2,179,6,2,S-3,2
ORD1289,6,4,76,4,2,S-2,2
ORD1290,7,4,51,7,4,S-2,3
ORD1291,9,1,187,7,1,S-3,6
ORD1292,8,2,68,1,2,S-2,3
ORD1293,4,4,190,4,3,S-3,6
ORD1294,7,1,163,9,2,S-1,5
ORD1295,2,3,105,7,3,S-2,4
ORD1296,5,4,144,2,2,S-3,5
ORD1297,4,2,198,6,4,S-3,2
ORD1298,7,3,106,2,3,S-2,5
ORD1299,2,4,151,5,1,S-3,4
ORD1300,2,4,119,1,2,S-2,4
ORD1301,8,2,131,5,2,S-2,6
ORD1302,8,4,98,5,4,S-1,5
ORD1303,5,2,140,7,3,S-1,2
ORD1304,2,2,54,4,4,S-1,2
ORD1305,9,2,106,0,3,S-2,6
ORD1306,6,2,141,7,2,S-2,6
ORD1307,2,4,85,8,2,S-3,5
ORD1308,7,3,187,0,2,S-1,6
ORD1309,8,3,161,4,2,S-1,4
ORD1310,6,1,197,5,0,S-3,2
ORD1311,9,2,62,3,2,S-1,4
ORD1312,8,4,171,1,2,S-1,3
ORD1313,9,4,158,4,3,S-1,4
ORD1314,8,1,196,3,2,S-3,2
ORD1315,8,3,141,6,2,S-1,3
ORD1316,2,4,151,5,3,S-2,5
ORD1317,3,1,105,2,2,S-1,3
ORD1318,2,3,94,8,2,S-2,6
ORD1319,8,4,109,3,4,S-1,2
ORD1320,6,2,103,4,0,S-2,6
ORD1321,2,1,86,2,3,S-1,4
ORD1322,8,4,86,7,4,S-2,5
ORD1323,8,1,63,6,1,S-2,2
ORD1324,2,1,144,6,1,S-1,5
ORD1325,2,1,151,7,0,S-3,2
ORD1326,6,2,91,6,1,S-1,6
ORD1327,9,3,50,2,0,S-3,4
ORD1328,2,3,72,2,1,S-3,3
ORD1329,5,4,77,1,1,S-3,5
ORD1330,7,2,181,0,4,S-3,2
ORD1331,5,3,67,4,1,S-3,2
ORD1332,6,4,98,3,0,S-3,5
ORD1333,3,4,96,1,2,S-1,3
ORD1334,5,1,164,0,2,S-2,4
ORD1335,9,2,88,2,2,S-2,2
ORD1336,8,3,55,5,0,S-1,2
ORD1337,7,2,102,1,0,S-1,5
ORD1338,4,2,74,9,2,S-1,5
ORD1339,7,3,148,6,1,S-3,2
ORD1340,5,3,114,6,2,S-3,2
ORD1341,4,2,182,2,3,S-2,2
ORD1342,6,4,57,0,0,S-1,6
ORD1343,9,2,88,8,3,S-2,2
ORD1344,7,3,160,4,3,S-2,4
ORD1345,3,2,92,1,0,S-3,4
ORD1346,4,3,131,7,2,S-3,3
ORD1347,4,4,172,9,4,S-2,5
ORD1348,7,2,182,9,3,S-3,3
ORD1349,5,4,53,3,2,S-3,2
ORD1350,4,2,157,9,4,S-3,5
ORD1351,6,2,142,6,3,S-2,2
ORD1352,7,3,178,4,2,S-2,5
ORD1353,6,1,143,2,3,S-2,6
ORD1354,7,3,105,9,2,S-1,6
ORD1355,6,2,52,7,1,S-2,6
ORD1356,5,1,71,1,1,S-3,3
ORD1357,7,1,105,0,0,S-2,5
ORD1358,9,4,67,4,4,S-1,3
ORD1359,8,2,165,3,3,S-3,5
ORD1360,3,3,133,9,3,S-2,2
ORD1361,5,1,79,6,2,S-2,6
ORD1362,6,1,129,8,4,S-3,6
ORD1363,9,3,115,5,3,S-2,5
ORD1364,7,3,59,0,4,S-1,3
ORD1365,5,1,108,7,4,S-3,3
ORD1366,6,3,100,1,1,S-2,4
ORD1367,2,4,172,3,3,S-3,6
ORD1368,2,1,186,2,3,S-2,6
ORD1369,4,4,103,5,0,S-2,3
ORD1370,3,2,130,1,4,S-3,6
ORD1371,2,4,186,4,2,S-2,3
ORD1372,8,3,58,8,1,S-2,4
ORD1373,6,1,150,2,0,S-3,5
ORD1374,5,4,88,1,1,S-2,5
ORD1375,7,3,185,1,2,S-2,4
ORD1376,5,3,159,8,0,S-3,6
ORD1377,4,4,115,5,1,S-1,2
ORD1378,9,1,59,1,2,S-1,6
ORD1379,5,4,166,2,0,S-1,3
ORD1380,2,2,132,0,2,S-1,2
ORD1381,5,4,188,1,0,S-1,4
ORD1382,2,4,183,1,3,S-1,5
ORD1383,2,1,119,1,3,S-3,5
ORD1384,3,4,88,6,1,S-3,6
ORD1385,4,3,62,2,4,S-3,5
ORD1386,8,1,108,3,4,S-2,6
ORD1387,8,3,116,1,2,S-1,3
ORD1388,6,1,90,4,0,S-1,3
ORD1389,8,2,84,8,3,S-3,4
ORD1390,2,2,130,8,4,S-2,3
ORD1391,7,2,83,6,3,S-2,6
ORD1392,4,4,125,7,2,S-3,5
ORD1393,6,2,119,4,2,S-1,3
ORD1394,8,1,60,4,0,S-2,3
ORD1395,8,2,161,2,4,S-1,6
ORD1396,7,1,76,5,2,S-2,3
ORD1397,5,3,97,0,2,S-1,5
ORD1398,4,4,73,2,3,S-2,5
ORD1399,7,3,67,1,1,S-1,5
ORD1400,8,3,76,6,4,S-1,5
ORD1401,4,2,103,8,0,S-1,2
ORD1402,4,2,104,3,0,S-3,5
ORD1403,8,2,169,6,3,S-1,2
ORD1404,5,3,70,7,0,S-1,5
ORD1405,5,4,164,9,2,S-2,5
ORD1406,8,4,169,1,4,S-2,6
ORD1407,4,3,107,6,0,S-3,5
ORD1408,7,4,103,2,4,S-2,3
ORD1409,3,3,195,7,0,S-1,5
ORD1410,2,3,52,5,1,S-3,4
ORD1411,5,4,178,2,1,S-3,6
ORD1412,8,1,55,7,4,S-3,6
ORD1413,9,1,68,2,1,S-1,5
ORD1414,3,2,135,8,1,S-1,4
ORD1415,5,4,164,2,2,S-2,5
ORD1416,9,2,172,0,0,S-2,3
ORD1417,4,3,185,1,1,S-2,6
ORD1418,8,1,122,3,4,S-3,6
ORD1419,3,4,96,1,2,S-1,4
ORD1420,8,4,134,3,1,S-2,2
ORD1421,7,4,77,3,4,S-1,4
ORD1422,7,1,95,3,0,S-3,3
ORD1423,6,2,181,0,1,S-1,4
ORD1424,2,1,169,8,4,S-1,2
ORD1425,2,2,185,9,4,S-3,3
ORD1426,5,3,165,6,3,S-2,3
ORD1427,2,3,110,1,4,S-1,2
ORD1428,8,2,66,2,3,S-1,5
ORD1429,8,3,83,7,0,S-3,4
ORD1430,6,3,69,6,0,S-1,3
ORD1431,9,4,92,3,2,S-1,4
ORD1432,7,4,59,3,3,S-1,2
ORD1433,9,1,143,8,4,S-3,6
ORD1434,9,1,164,4,2,S-1,2
ORD1435,3,1,176,4,2,S-3,4
ORD1436,3,4,159,6,0,S-2,3
ORD1437,7,1,156,0,4,S-1,4
ORD1438,4,1,154,2,3,S-3,6
ORD1439,7,4,120,1,0,S-3,3
ORD1440,3,2,133,9,2,S-1,6
ORD1441,9,4,52,5,1,S-3,5
ORD1442,5,2,95,5,2,S-2,2
ORD1443,6,4,75,9,1,S-2,5
ORD1444,9,1,187,0,0,S-2,4
ORD1445,7,3,57,5,3,S-2,5
ORD1446,4,3,104,9,4,S-3,2
ORD1447,9,2,140,1,1,S-3,3
ORD1448,5,2,187,3,4,S-2,6
ORD1449,7,2,163,5,0,S-2,3
ORD1450,5,3,128,2,0,S-2,5
ORD1451,9,2,150,2,0,S-2,4
ORD1452,7,4,135,2,3,S-2,5
ORD1453,5,4,94,3,1,S-3,2
ORD1454,8,3,99,8,4,S-2,2
ORD1455,2,4,113,3,2,S-2,4
ORD1456,5,2,144,3,0,S-1,3
ORD1457,8,3,51,3,4,S-3,2
ORD1458,9,2,144,6,4,S-2,2
ORD1459,2,4,111,4,3,S-3,4
ORD1460,3,2,191,1,1,S-1,3
ORD1461,2,3,123,6,3,S-1,5
ORD1462,5,2,149,2,3,S-2,6
ORD1463,6,4,160,0,4,S-2,4
ORD1464,6,1,153,8,1,S-2,3
ORD1465,3,3,64,4,1,S-2,6
ORD1466,5,2,63,9,1,S-1,4
ORD1467,2,3,76,0,0,S-3,5
ORD1468,6,2,134,0,1,S-2,5
ORD1469,7,1,58,0,4,S-3,3
ORD1470,4,4,69,8,0,S-2,3
ORD1471,5,2,128,7,2,S-2,5
ORD1472,8,2,106,5,3,S-1,5
ORD1473,8,1,193,9,1,S-2,4
ORD1474,7,3,149,5,2,S-2,3
ORD1475,7,4,124,5,1,S-2,6
ORD1476,5,2,185,3,3,S-1,5
ORD1477,4,2,116,4,4,S-3,6
ORD1478,6,4,68,9,4,S-1,3
ORD1479,4,1,154,2,3,S-2,3
ORD1480,3,3,60,2,2,S-2,2
ORD1481,2,4,100,9,0,S-2,5
ORD1482,2,3,175,6,0,S-3,3
ORD1483,7,1,129,4,1,S-3,3
ORD1484,6,1,103,7,3,S-2,5
ORD1485,4,4,66,4,3,S-2,2
ORD1486,7,2,73,3,0,S-3,2
ORD1487,5,1,194,2,2,S-1,2
ORD1488,7,1,97,1,3,S-1,2
ORD1489,5,4,133,2,4,S-3,4
ORD1490,5,4,56,6,4,S-3,5
ORD1491,3,4,191,7,3,S-2,5
ORD1492,3,1,60,4,2,S-3,5
ORD1493,5,3,61,0,4,S-3,2
ORD1494,9,1,159,2,2,S-2,2
ORD1495,6,4,182,3,0,S-3,3
ORD1496,3,2,182,9,1,S-2,4
ORD1497,3,2,177,3,0,S-1,5
ORD1498,2,4,197,0,1,S-1,4
ORD1499,7,2,103,9,4,S-1,5
ORD1500,2,1,104,8,1,S-2,2
ORD1501,6,3,128,9,1,S-1,2
ORD1502,3,1,139,3,3,S-1,5
ORD1503,8,4,146,1,1,S-2,6
ORD1504,9,1,176,8,3,S-2,2
ORD1505,3,2,79,3,1,S-1,3
ORD1506,4,1,73,3,3,S-1,2
ORD1507,6,3,180,5,4,S-1,3
ORD1508,8,2,171,7,4,S-3,4
ORD1509,7,3,149,4,1,S-2,2
ORD1510,7,3,120,7,2,S-2,2
ORD1511,8,3,199,0,4,S-2,4
ORD1512,7,1,63,3,0,S-2,3
ORD1513,9,1,97,0,0,S-1,6
ORD1514,8,1,78,2,3,S-2,3
ORD1515,6,1,99,6,2,S-3,5
ORD1516,8,2,187,0,3,S-3,5
ORD1517,8,1,76,4,1,S-1,5
ORD1518,4,2,128,0,4,S-1,4
ORD1519,4,3,145,5,2,S-2,3
ORD1520,2,2,186,8,3,S-1,2
ORD1521,6,4,120,2,3,S-1,5
ORD1522,6,1,129,5,0,S-1,3
ORD1523,4,4,130,3,1,S-3,2
ORD1524,5,2,136,5,3,S-2,3
ORD1525,5,1,57,1,0,S-1,4
ORD1526,2,4,51,3,2,S-2,5
ORD1527,9,1,172,6,3,S-2,6
ORD1528,5,2,170,5,0,S-2,5
ORD1529,5,4,145,8,1,S-3,5
ORD1530,5,2,142,6,4,S-2,4
ORD1531,9,4,52,0,2,S-2,2
ORD1532,3,3,185,5,3,S-1,5
ORD1533,2,3,51,2,0,S-1,2
ORD1534,4,3,164,7,3,S-3,2
ORD1535,5,3,98,0,4,S-2,4
ORD1536,7,3,150,9,3,S-3,5
ORD1537,8,2,197,1,3,S-2,4
ORD1538,3,3,78,2,0,S-3,4
ORD1539,9,2,194,2,4,S-2,6
ORD1540,9,3,123,6,2,S-1,4
ORD1541,9,1,154,7,0,S-3,6
ORD1542,5,3,199,8,4,S-1,2
ORD1543,8,1,55,6,4,S-2,2
ORD1544,8,2,111,7,3,S-3,3
ORD1545,3,3,80,5,1,S-1,3
ORD1546,2,4,168,1,1,S-1,2
ORD1547,9,2,61,0,2,S-1,5
ORD1548,7,3,61,2,3,S-2,3
ORD1549,7,2,193,8,1,S-3,4
ORD1550,7,4,74,6,0,S-1,3
ORD1551,9,3,199,1,2,S-2,2
ORD1552,5,4,140,0,3,S-2,5
ORD1553,3,3,137,1,0,S-2,2
ORD1554,9,1,125,2,1,S-3,5
ORD1555,7,2,67,5,1,S-2,3
ORD1556,8,4,94,8,1,S-2,4
ORD1557,9,2,160,7,1,S-3,4
ORD1558,8,4,129,9,4,S-3,2
ORD1559,6,2,117,8,2,S-2,5
ORD1560,9,2,189,7,2,S-2,3
ORD1561,6,2,67,6,1,S-1,5
ORD1562,3,1,103,5,2,S-3,5
ORD1563,9,3,161,7,0,S-3,5
ORD1564,5,1,146,5,0,S-1,3
ORD1565,5,2,76,1,2,S-2,5
ORD1566,2,4,127,8,1,S-2,4
ORD1567,2,2,137,8,3,S-2,2
ORD1568,7,3,103,2,1,S-2,6
ORD1569,4,1,136,8,4,S-1,5
ORD1570,8,3,54,1,3,S-3,4
ORD1571,2,4,172,2,4,S-3,4
ORD1572,5,3,103,5,2,S-2,2
ORD1573,8,1,88,3,4,S-1,2
ORD1574,4,4,158,7,2,S-2,6
ORD1575,2,3,181,0,4,S-2,6
ORD1576,3,1,123,5,3,S-1,6
ORD1577,6,1,114,1,4,S-1,3
ORD1578,2,2,86,5,1,S-3,3
ORD1579,9,3,116,0,2,S-3,4
ORD1580,2,4,160,1,0,S-2,2
ORD1581,9,2,174,8,4,S-2,5
ORD1582,3,3,136,5,2,S-3,2
ORD1583,5,3,96,7,0,S-1,3
ORD1584,7,4,197,6,2,S-2,4
ORD1585,3,2,62,8,2,S-2,5
ORD1586,7,2,93,8,0,S-1,6
ORD1587,2,4,174,3,0,S-2,6
ORD1588,5,2,168,6,3,S-1,3
ORD1589,4,1,180,4,4,S-3,4
ORD1590,2,4,175,6,4,S-3,2
ORD1591,3,3,187,3,2,S-3,3
ORD1592,4,4,98,9,1,S-3,2
ORD1593,6,1,173,0,1,S-3,5
ORD1594,4,4,127,3,2,S-2,2
ORD1595,3,3,179,9,3,S-3,5
ORD1596,8,3,152,2,0,S-2,4
ORD1597,4,4,154,8,2,S-2,3
ORD1598,3,4,169,4,4,S-1,2
ORD1599,8,1,80,3,1,S-2,4
ORD1600,2,1,117,7,1,S-2,4
ORD1601,8,3,86,4,1,S-3,2
ORD1602,5,2,73,2,3,S-3,6
ORD1603,6,2,93,1,4,S-1,6
ORD1604,8,2,132,7,3,S-1,5
ORD1605,5,2,90,1,0,S-2,4
ORD1606,5,3,91,7,2,S-1,3
ORD1607,5,2,157,4,2,S-3,3
ORD1608,8,2,89,7,1,S-3,4
ORD1609,3,4,97,4,1,S-3,6
ORD1610,9,2,162,0,0,S-2,4
ORD1611,3,4,133,1,3,S-2,5
ORD1612,6,3,53,5,4,S-1,4
ORD1613,3,4,157,2,0,S-3,2
ORD1614,7,1,109,7,2,S-2,6
ORD1615,3,4,163,4,2,S-2,2
ORD1616,3,2,54,2,3,S-1,2
ORD1617,3,4,155,9,0,S-3,4
ORD1618,2,4,55,6,4,S-3,4
ORD1619,6,3,63,7,0,S-1,3
ORD1620,7,3,175,3,0,S-1,2
ORD1621,3,2,189,8,3,S-1,4
ORD1622,9,1,111,5,4,S-1,3
ORD1623,6,1,76,0,2,S-3,2
ORD1624,4,4,103,4,1,S-3,3
ORD1625,2,1,139,4,4,S-1,6
ORD1626,8,3,61,6,2,S-2,5
ORD1627,9,2,185,6,3,S-2,2
ORD1628,3,2,123,5,4,S-3,4
ORD1629,9,3,193,7,4,S-3,6
