Order Number,Order Date,Order Status,Freight Cost
ORD1053,2/23/2021,On Time,133.74
ORD1054,2/24/2021,On Time,82.3
ORD1055,2/25/2021,Late,138.9
ORD1056,2/26/2021,Late,66.06
ORD1057,2/27/2021,On Time,67.3
ORD1058,2/28/2021,Late,76.68
ORD1059,2/28/2021,On Time,61.95
ORD1060,3/1/2021,On Time,73.03
ORD1061,3/2/2021,On Time,60.64
ORD1062,3/3/2021,On Time,132.18
ORD1063,3/4/2021,On Time,63.9
ORD1064,3/5/2021,On Time,124.73
ORD1065,3/6/2021,On Time,54.79
ORD1066,3/7/2021,On Time,144.85
ORD1067,3/8/2021,Late,121.12
ORD1068,3/9/2021,On Time,50.68
ORD1069,3/10/2021,On Time,126.39
ORD1070,3/11/2021,Late,101.41
ORD1071,3/12/2021,Late,127.94
ORD1072,3/13/2021,Late,102.25
ORD1073,3/14/2021,On Time,114.1
ORD1074,3/15/2021,On Time,128.63
ORD1075,3/16/2021,On Time,90.51
ORD1076,3/17/2021,On Time,50.27
ORD1077,3/18/2021,Late,134.99
ORD1078,3/19/2021,On Time,88.09
ORD1079,3/20/2021,Late,99.6
ORD1080,3/21/2021,Late,50.78
ORD1081,3/22/2021,Late,99.21
ORD1082,3/23/2021,On Time,148.65
ORD1083,3/24/2021,On Time,77.83
ORD1084,3/25/2021,On Time,89.54
ORD1085,3/26/2021,Late,118.72
ORD1086,3/27/2021,On Time,131.48
ORD1087,3/28/2021,On Time,91.74
ORD1088,3/29/2021,On Time,80.97
ORD1089,3/30/2021,On Time,143.78
ORD1090,3/31/2021,Late,117.71
ORD1091,4/1/2021,Late,61.9
ORD1092,4/2/2021,On Time,56.89
ORD1093,4/3/2021,Late,98.35
ORD1094,4/4/2021,On Time,72.01
ORD1095,4/5/2021,On Time,75.4
ORD1096,4/6/2021,On Time,137.77
ORD1097,4/7/2021,On Time,58.96
ORD1098,4/8/2021,On Time,121.54
ORD1099,4/9/2021,On Time,77.11
ORD1100,4/10/2021,On Time,126.03
ORD1101,4/11/2021,On Time,122.24
ORD1102,4/12/2021,On Time,50.74
ORD1103,4/13/2021,On Time,100.91
ORD1104,4/14/2021,On Time,63.93
ORD1105,4/15/2021,On Time,136.62
ORD1106,4/16/2021,On Time,137.16
ORD1107,4/17/2021,On Time,91.83
ORD1108,4/18/2021,Late,94.44
ORD1109,4/19/2021,On Time,80.33
ORD1110,4/20/2021,On Time,121.66
ORD1111,4/21/2021,On Time,85.87
ORD1112,4/22/2021,On Time,76.78
ORD1113,4/23/2021,On Time,93.22
ORD1114,4/24/2021,On Time,59.15
ORD1115,4/25/2021,On Time,124.66
ORD1116,4/26/2021,On Time,51.26
ORD1117,4/27/2021,Late,114.45
ORD1118,4/28/2021,Late,68.29
ORD1119,4/29/2021,On Time,73.24
ORD1120,4/30/2021,On Time,113.56
ORD1121,5/1/2021,On Time,149.29
ORD1122,5/2/2021,Late,127.77
ORD1123,5/3/2021,Late,72.58
ORD1124,5/4/2021,On Time,67.6
ORD1125,5/5/2021,On Time,136.62
ORD1126,5/6/2021,On Time,94.42
ORD1127,5/7/2021,On Time,63.71
ORD1128,5/8/2021,On Time,136.22
ORD1129,5/9/2021,On Time,131.61
ORD1130,5/10/2021,Late,148.39
ORD1131,5/11/2021,On Time,140.97
ORD1132,5/12/2021,On Time,135.18
ORD1133,5/13/2021,On Time,55.26
ORD1134,5/14/2021,Late,60.44
ORD1135,5/15/2021,Late,106.9
ORD1136,5/16/2021,On Time,103.15
ORD1137,5/17/2021,On Time,95.8
ORD1138,5/18/2021,On Time,89.68
ORD1139,5/19/2021,On Time,93.12
ORD1140,5/20/2021,On Time,106.93
ORD1141,5/21/2021,On Time,50.21
ORD1142,5/22/2021,On Time,76.07
ORD1143,5/23/2021,On Time,101.83
ORD1144,5/24/2021,On Time,122.22
ORD1145,5/25/2021,On Time,67.42
ORD1146,5/26/2021,On Time,104.69
ORD1147,5/27/2021,On Time,121.45
ORD1148,5/28/2021,On Time,94.46
ORD1149,5/29/2021,On Time,52.71
ORD1150,5/30/2021,On Time,94.93
ORD1151,5/31/2021,On Time,79.64
ORD1152,6/1/2021,On Time,142.96
ORD1153,6/2/2021,On Time,62.46
ORD1154,6/3/2021,On Time,115.25
ORD1155,6/4/2021,Late,55.27
ORD1156,6/5/2021,On Time,94.62
ORD1157,6/6/2021,On Time,105.4
ORD1158,6/7/2021,Late,79.8
ORD1159,6/8/2021,On Time,95.51
ORD1160,6/9/2021,Late,66.36
ORD1161,6/10/2021,On Time,80.41
ORD1162,6/11/2021,On Time,112.11
ORD1163,6/12/2021,On Time,80.18
ORD1164,6/13/2021,On Time,139.97
ORD1165,6/14/2021,On Time,112.84
ORD1166,6/15/2021,Late,93.86
ORD1167,6/16/2021,On Time,53.88
ORD1168,6/17/2021,On Time,99.95
ORD1169,6/18/2021,On Time,126.48
ORD1170,6/19/2021,Late,76.56
ORD1171,6/20/2021,On Time,130.68
ORD1172,6/21/2021,On Time,75.18
ORD1173,6/22/2021,On Time,132.37
ORD1174,6/23/2021,On Time,58.53
ORD1175,6/24/2021,On Time,136.62
ORD1176,6/25/2021,On Time,99.92
ORD1177,6/26/2021,On Time,79.65
ORD1178,6/27/2021,On Time,76.51
ORD1179,6/28/2021,On Time,93.2
ORD1180,6/29/2021,Late,149.9
ORD1181,6/30/2021,On Time,72.03
ORD1182,7/1/2021,On Time,60.32
ORD1183,7/2/2021,On Time,108.5
ORD1184,7/3/2021,On Time,98.85
ORD1185,7/4/2021,On Time,102.42
ORD1186,7/5/2021,On Time,116.69
ORD1187,7/6/2021,On Time,76.71
ORD1188,7/7/2021,On Time,141.07
ORD1189,7/8/2021,On Time,93.57
ORD1190,7/9/2021,Late,62.91
ORD1191,7/10/2021,On Time,124.23
ORD1192,7/11/2021,On Time,114.31
ORD1193,7/12/2021,On Time,81.57
ORD1194,7/13/2021,On Time,112.15
ORD1195,7/14/2021,On Time,71.99
ORD1196,7/15/2021,On Time,94.48
ORD1197,7/16/2021,Late,139.94
ORD1198,7/17/2021,On Time,63.35
ORD1199,7/18/2021,Late,88.67
ORD1200,7/19/2021,Late,132.11
ORD1201,7/20/2021,On Time,146.95
ORD1202,7/21/2021,On Time,95.39
ORD1203,7/22/2021,On Time,100.7
ORD1204,7/23/2021,On Time,107.22
ORD1205,7/24/2021,On Time,143.23
ORD1206,7/25/2021,On Time,135.82
ORD1207,7/26/2021,On Time,67.06
ORD1208,7/27/2021,Late,93.68
ORD1209,7/28/2021,Late,96.4
ORD1210,7/29/2021,On Time,128.91
ORD1211,7/30/2021,Late,110.29
ORD1212,7/31/2021,On Time,115.42
ORD1213,8/1/2021,On Time,149.82
ORD1214,8/2/2021,On Time,57.5
ORD1215,8/3/2021,On Time,72.3
ORD1216,8/4/2021,On Time,90.79
ORD1217,8/5/2021,On Time,84.78
ORD1218,8/6/2021,On Time,52.16
ORD1219,8/7/2021,Late,59.18
ORD1220,8/8/2021,On Time,118.1
ORD1221,8/9/2021,On Time,137.93
ORD1222,8/10/2021,On Time,101.42
ORD1223,8/11/2021,On Time,103.92
ORD1224,8/12/2021,On Time,75.51
ORD1225,8/13/2021,Late,126.79
ORD1226,8/14/2021,On Time,125.18
ORD1227,8/15/2021,On Time,108.84
ORD1228,8/16/2021,On Time,71.27
ORD1229,8/17/2021,On Time,59.7
ORD1230,8/18/2021,On Time,56.42
ORD1231,8/19/2021,On Time,109.27
ORD1232,8/20/2021,On Time,132.5
ORD1233,8/21/2021,On Time,135.83
ORD1234,8/22/2021,On Time,96.36
ORD1235,8/23/2021,On Time,128.43
ORD1236,8/24/2021,On Time,144.69
ORD1237,8/25/2021,On Time,77.52
ORD1238,8/26/2021,On Time,89.8
ORD1239,8/27/2021,On Time,143.15
ORD1240,8/28/2021,On Time,83.82
ORD1241,8/29/2021,On Time,141.39
ORD1242,8/30/2021,Late,148.1
ORD1243,8/31/2021,On Time,116.18
ORD1244,9/1/2021,Late,131.69
ORD1245,9/2/2021,On Time,124.95
ORD1246,9/3/2021,On Time,119.95
ORD1247,9/4/2021,Late,80.69
ORD1248,9/5/2021,On Time,55.71
ORD1249,9/6/2021,On Time,84.31
ORD1250,9/7/2021,On Time,116.69
ORD1251,9/8/2021,On Time,60.25
ORD1252,9/9/2021,On Time,51.19
ORD1253,9/10/2021,On Time,63.97
ORD1254,9/11/2021,Late,121.57
ORD1255,9/12/2021,On Time,147.28
ORD1256,9/13/2021,On Time,148.31
ORD1257,9/14/2021,On Time,99.4
ORD1258,9/15/2021,On Time,136.94
ORD1259,9/16/2021,On Time,123.68
ORD1260,9/17/2021,On Time,100.1
ORD1261,9/18/2021,On Time,107.28
ORD1262,9/19/2021,On Time,63.72
ORD1263,9/20/2021,On Time,143.77
ORD1264,9/21/2021,On Time,85.19
ORD1265,9/22/2021,Late,94.61
ORD1266,9/23/2021,On Time,117.17
ORD1267,9/24/2021,On Time,83.39
ORD1268,9/25/2021,Late,75.43
ORD1269,9/26/2021,On Time,113.1
ORD1270,9/27/2021,Late,52.5
ORD1271,9/28/2021,On Time,122.07
ORD1272,9/29/2021,On Time,101.4
ORD1273,9/30/2021,On Time,110.58
ORD1274,10/1/2021,On Time,113.19
ORD1275,10/2/2021,On Time,102.71
ORD1276,10/3/2021,On Time,108.25
ORD1277,10/4/2021,On Time,118.38
ORD1278,10/5/2021,On Time,125.31
ORD1279,10/6/2021,Late,122.75
ORD1280,10/7/2021,On Time,136.96
ORD1281,10/8/2021,On Time,68.94
ORD1282,10/9/2021,Late,90.11
ORD1283,10/10/2021,On Time,144.78
ORD1284,10/11/2021,On Time,89.66
ORD1285,10/12/2021,On Time,62.49
ORD1286,10/13/2021,On Time,102.54
ORD1287,10/14/2021,On Time,60.95
ORD1288,10/15/2021,On Time,70.29
ORD1289,10/16/2021,Late,149.83
ORD1290,10/17/2021,On Time,104.14
ORD1291,10/18/2021,On Time,78.41
ORD1292,10/19/2021,On Time,149.48
ORD1293,10/20/2021,On Time,146.66
ORD1294,10/21/2021,On Time,94.07
ORD1295,10/22/2021,On Time,76.04
ORD1296,10/23/2021,On Time,133.84
ORD1297,10/24/2021,On Time,121.56
ORD1298,10/25/2021,On Time,118.69
ORD1299,10/26/2021,On Time,139.31
ORD1300,10/27/2021,On Time,118.94
ORD1301,10/28/2021,On Time,78.38
ORD1302,10/29/2021,On Time,119.39
ORD1303,10/30/2021,On Time,80.58
ORD1304,10/31/2021,On Time,125.92
ORD1305,11/1/2021,Late,111.97
ORD1306,11/2/2021,On Time,57.74
ORD1307,11/3/2021,On Time,101.28
ORD1308,11/4/2021,On Time,84.33
ORD1309,11/5/2021,On Time,82.86
ORD1310,11/6/2021,Late,110.23
ORD1311,11/7/2021,On Time,82.23
ORD1312,11/8/2021,On Time,127.69
ORD1313,11/9/2021,On Time,57.08
ORD1314,11/10/2021,On Time,116.04
ORD1315,11/11/2021,Late,130.92
ORD1316,11/12/2021,On Time,117.28
ORD1317,11/13/2021,Late,99.72
ORD1318,11/14/2021,On Time,145.03
ORD1319,11/15/2021,Late,79.99
ORD1320,11/16/2021,On Time,51.92
ORD1321,11/17/2021,On Time,93.2
ORD1322,11/18/2021,On Time,53.3
ORD1323,11/19/2021,Late,145.39
ORD1324,11/20/2021,Late,70.99
ORD1325,11/21/2021,On Time,128.89
ORD1326,11/22/2021,Late,127.46
ORD1327,11/23/2021,On Time,71.77
ORD1328,11/24/2021,Late,112.12
ORD1329,11/25/2021,On Time,54.81
ORD1330,11/26/2021,On Time,98.36
ORD1331,11/27/2021,Late,51.46
ORD1332,11/28/2021,On Time,142.11
ORD1333,11/29/2021,On Time,147.61
ORD1334,11/30/2021,On Time,72.23
ORD1335,12/1/2021,Late,70.81
ORD1336,12/2/2021,On Time,125.37
ORD1337,12/3/2021,Late,75.34
ORD1338,12/4/2021,On Time,139.51
ORD1339,12/5/2021,On Time,107.39
ORD1340,12/6/2021,On Time,85.08
ORD1341,12/7/2021,On Time,133.27
ORD1342,12/8/2021,On Time,99.34
ORD1343,12/9/2021,On Time,141.16
ORD1344,12/10/2021,On Time,142.8
ORD1345,12/11/2021,On Time,66.54
ORD1346,12/12/2021,Late,50.23
ORD1347,12/13/2021,On Time,148.39
ORD1348,12/14/2021,On Time,140.61
ORD1349,12/15/2021,On Time,55.54
ORD1350,12/16/2021,On Time,133.3
ORD1351,12/17/2021,On Time,95.78
ORD1352,12/18/2021,On Time,75.9
ORD1353,12/19/2021,On Time,137.87
ORD1354,12/20/2021,On Time,69.67
ORD1355,12/21/2021,On Time,144.73
ORD1356,12/22/2021,On Time,70.56
ORD1357,12/23/2021,On Time,111.37
ORD1358,12/24/2021,On Time,72.31
ORD1359,12/25/2021,On Time,104.57
ORD1360,12/26/2021,On Time,118.4
ORD1361,12/27/2021,On Time,69.02
ORD1362,12/28/2021,On Time,102.09
ORD1363,12/29/2021,Late,96.91
ORD1364,12/30/2021,On Time,57.1
ORD1365,12/31/2021,On Time,131.83
ORD1366,1/1/2021,Late,83.57
ORD1367,1/2/2021,Late,107.46
ORD1368,1/3/2021,On Time,101.48
ORD1369,1/4/2021,On Time,101.33
ORD1370,1/5/2021,Late,60.72
ORD1371,1/6/2021,On Time,92.35
ORD1372,1/7/2021,On Time,95.24
ORD1373,1/8/2021,On Time,123.36
ORD1374,1/9/2021,Late,134
ORD1375,1/10/2021,On Time,104.5
ORD1376,1/11/2021,On Time,58.68
ORD1377,1/12/2021,Late,73.68
ORD1378,1/13/2021,On Time,66.49
ORD1379,1/14/2021,On Time,62.46
ORD1380,1/15/2021,On Time,86.59
ORD1381,1/16/2021,Late,72.94
ORD1382,1/17/2021,On Time,71.83
ORD1383,1/18/2021,On Time,55.47
ORD1384,1/19/2021,On Time,51.77
ORD1385,1/20/2021,On Time,60.28
ORD1386,1/21/2021,On Time,67.22
ORD1387,1/22/2021,Late,93.1
ORD1388,1/23/2021,On Time,101.05
ORD1389,1/24/2021,On Time,64.06
ORD1390,1/25/2021,On Time,92.48
ORD1391,1/26/2021,On Time,84.17
ORD1392,1/27/2021,On Time,68.34
ORD1393,1/28/2021,On Time,50.68
ORD1394,1/29/2021,On Time,96.7
ORD1395,1/30/2021,On Time,118.57
ORD1396,1/31/2021,On Time,72.63
ORD1397,2/1/2021,On Time,63.18
ORD1398,2/2/2021,On Time,138.7
ORD1399,2/3/2021,On Time,77.5
ORD1400,2/4/2021,On Time,72.36
ORD1401,2/5/2021,On Time,135.71
ORD1402,2/6/2021,On Time,131.71
ORD1403,2/7/2021,Late,94.83
ORD1404,2/8/2021,On Time,98.92
ORD1405,2/9/2021,On Time,71.77
ORD1406,2/10/2021,On Time,57.83
ORD1407,2/11/2021,Late,107.34
ORD1408,2/12/2021,On Time,59.83
ORD1409,2/13/2021,On Time,94.93
ORD1410,2/14/2021,On Time,144.05
ORD1411,2/15/2021,On Time,145.28
ORD1412,2/16/2021,On Time,73.93
ORD1413,2/17/2021,On Time,112.41
ORD1414,2/18/2021,On Time,97.41
ORD1415,2/19/2021,On Time,137.57
ORD1416,2/20/2021,On Time,77.14
ORD1417,2/21/2021,On Time,50.37
ORD1418,2/22/2021,On Time,66.26
ORD1419,2/23/2021,On Time,84.95
ORD1420,2/24/2021,On Time,81.57
ORD1421,2/25/2021,On Time,129.14
ORD1422,2/26/2021,On Time,118.06
ORD1423,2/27/2021,On Time,79.96
ORD1424,2/28/2021,On Time,95.77
ORD1425,3/1/2021,On Time,59.56
ORD1426,3/2/2021,On Time,139.81
ORD1427,3/3/2021,On Time,143.54
ORD1428,3/4/2021,On Time,147.98
ORD1429,3/5/2021,On Time,136.86
ORD1430,3/6/2021,On Time,67.4
ORD1431,3/7/2021,Late,54.62
ORD1432,3/8/2021,Late,107.96
ORD1433,3/9/2021,On Time,141.26
ORD1434,3/10/2021,On Time,67.74
ORD1435,3/11/2021,On Time,50.7
ORD1436,3/12/2021,On Time,130.55
ORD1437,3/13/2021,On Time,57.68
ORD1438,3/14/2021,Late,91.37
ORD1439,3/15/2021,On Time,117.89
ORD1440,3/16/2021,On Time,73.68
ORD1441,3/17/2021,On Time,58.4
ORD1442,3/18/2021,On Time,127
ORD1443,3/19/2021,On Time,113.02
ORD1444,3/20/2021,On Time,148.85
ORD1445,3/21/2021,Late,84.43
ORD1446,3/22/2021,On Time,56.18
ORD1447,3/23/2021,On Time,123.44
ORD1448,3/24/2021,On Time,102.17
ORD1449,3/25/2021,On Time,71.32
ORD1450,3/26/2021,On Time,128.17
ORD1451,3/27/2021,On Time,70.38
ORD1452,3/28/2021,On Time,76.07
ORD1453,3/29/2021,On Time,59.25
ORD1454,3/30/2021,Late,89.94
ORD1455,3/31/2021,Late,91.89
ORD1456,4/1/2021,On Time,101.46
ORD1457,4/2/2021,On Time,120.9
ORD1458,4/3/2021,On Time,140.61
ORD1459,4/4/2021,On Time,63.77
ORD1460,4/5/2021,Late,55.43
ORD1461,4/6/2021,On Time,51.85
ORD1462,4/7/2021,On Time,64.36
ORD1463,4/8/2021,On Time,115.79
ORD1464,4/9/2021,On Time,122.75
ORD1465,4/10/2021,On Time,128.65
ORD1466,4/11/2021,On Time,74.37
ORD1467,4/12/2021,On Time,80.59
ORD1468,4/13/2021,On Time,98.31
ORD1469,4/14/2021,On Time,56.32
ORD1470,4/15/2021,On Time,111.11
ORD1471,4/16/2021,On Time,148.37
ORD1472,4/17/2021,Late,86.08
ORD1473,4/18/2021,Late,125.28
ORD1474,4/19/2021,On Time,100
ORD1475,4/20/2021,On Time,62.78
ORD1476,4/21/2021,Late,108.22
ORD1477,4/22/2021,On Time,79.99
ORD1478,4/23/2021,On Time,53.44
ORD1479,4/24/2021,Late,113.49
ORD1480,4/25/2021,On Time,135.89
ORD1481,4/26/2021,On Time,84.48
ORD1482,4/27/2021,On Time,89.03
ORD1483,4/28/2021,On Time,139.1
ORD1484,4/29/2021,On Time,131.36
ORD1485,4/30/2021,On Time,121.5
ORD1486,5/1/2021,On Time,74.88
ORD1487,5/2/2021,On Time,141.02
ORD1488,5/3/2021,On Time,65.44
ORD1489,5/4/2021,On Time,112.68
ORD1490,5/5/2021,Late,52.88
ORD1491,5/6/2021,On Time,114.37
ORD1492,5/7/2021,On Time,77.71
ORD1493,5/8/2021,Late,94.97
ORD1494,5/9/2021,On Time,84.53
ORD1495,5/10/2021,On Time,67.28
ORD1496,5/11/2021,On Time,112.2
ORD1497,5/12/2021,On Time,138.2
ORD1498,5/13/2021,On Time,145.91
ORD1499,5/14/2021,On Time,69.23
ORD1500,5/15/2021,On Time,121.74
ORD1501,5/16/2021,On Time,116.43
ORD1502,5/17/2021,On Time,84.34
ORD1503,5/18/2021,On Time,51.91
ORD1504,5/19/2021,On Time,118.98
ORD1505,5/20/2021,Late,144.55
ORD1506,5/21/2021,On Time,113.21
ORD1507,5/22/2021,On Time,93.53
ORD1508,5/23/2021,On Time,102.52
ORD1509,5/24/2021,On Time,69.96
ORD1510,5/25/2021,On Time,125.05
ORD1511,5/26/2021,On Time,124.64
ORD1512,5/27/2021,On Time,64.55
ORD1513,5/28/2021,On Time,137.8
ORD1514,5/29/2021,On Time,76.92
ORD1515,5/30/2021,On Time,148.23
ORD1516,5/31/2021,On Time,88.29
ORD1517,6/1/2021,On Time,67.79
ORD1518,6/2/2021,On Time,85.17
ORD1519,6/3/2021,Late,94.02
ORD1520,6/4/2021,On Time,56.93
ORD1521,6/5/2021,Late,107.82
ORD1522,6/6/2021,Late,109.76
ORD1523,6/7/2021,Late,123.89
ORD1524,6/8/2021,Late,52.92
ORD1525,6/9/2021,On Time,104.12
ORD1526,6/10/2021,On Time,55.29
ORD1527,6/11/2021,On Time,120.11
ORD1528,6/12/2021,On Time,55.57
ORD1529,6/13/2021,On Time,141.17
ORD1530,6/14/2021,On Time,120.21
ORD1531,6/15/2021,On Time,100.74
ORD1532,6/16/2021,On Time,94.15
ORD1533,6/17/2021,Late,63.07
ORD1534,6/18/2021,On Time,79.1
ORD1535,6/19/2021,On Time,136.9
ORD1536,6/20/2021,Late,140.45
ORD1537,6/21/2021,Late,50.07
ORD1538,6/22/2021,On Time,109.41
ORD1539,6/23/2021,Late,121.93
ORD1540,6/24/2021,Late,111.87
ORD1541,6/25/2021,Late,58.17
ORD1542,6/26/2021,On Time,71.77
ORD1543,6/27/2021,On Time,75.03
ORD1544,6/28/2021,On Time,133.17
ORD1545,6/29/2021,On Time,96.32
ORD1546,6/30/2021,On Time,98.68
ORD1547,7/1/2021,On Time,143.49
ORD1548,7/2/2021,Late,113.71
ORD1549,7/3/2021,On Time,139.87
ORD1550,7/4/2021,Late,95.65
ORD1551,7/5/2021,On Time,64.94
ORD1552,7/6/2021,On Time,142.99
ORD1553,7/7/2021,Late,95.87
ORD1554,7/8/2021,On Time,68.16
ORD1555,7/9/2021,On Time,80.24
ORD1556,7/10/2021,Late,55.08
ORD1557,7/11/2021,On Time,96.83
ORD1558,7/12/2021,On Time,135.31
ORD1559,7/13/2021,Late,143.36
ORD1560,7/14/2021,On Time,143.26
ORD1561,7/15/2021,On Time,62.52
ORD1562,7/16/2021,On Time,88.21
ORD1563,7/17/2021,Late,52.82
ORD1564,7/18/2021,On Time,135.52
ORD1565,7/19/2021,Late,85.88
ORD1566,7/20/2021,On Time,113.11
ORD1567,7/21/2021,On Time,121.49
ORD1568,7/22/2021,On Time,92.98
ORD1569,7/23/2021,Late,80.64
ORD1570,7/24/2021,On Time,146.22
ORD1571,7/25/2021,On Time,146.45
ORD1572,7/26/2021,On Time,78.94
ORD1573,7/27/2021,On Time,97.96
ORD1574,7/28/2021,On Time,147.28
ORD1575,7/29/2021,On Time,50.49
ORD1576,7/30/2021,On Time,91.27
ORD1577,7/31/2021,On Time,60.05
ORD1578,8/1/2021,On Time,100.92
ORD1579,8/2/2021,On Time,52.47
ORD1580,8/3/2021,On Time,90.69
ORD1581,8/4/2021,Late,72.07
ORD1582,8/5/2021,On Time,103.33
ORD1583,8/6/2021,On Time,149.6
ORD1584,8/7/2021,Late,130.05
ORD1585,8/8/2021,On Time,134.56
ORD1586,8/9/2021,Late,113.53
ORD1587,8/10/2021,On Time,54.16
ORD1588,8/11/2021,On Time,70.68
ORD1589,8/12/2021,On Time,142.51
ORD1590,8/13/2021,On Time,86.61
ORD1591,8/14/2021,On Time,60.36
ORD1592,8/15/2021,On Time,120.24
ORD1593,8/16/2021,On Time,79.95
ORD1594,8/17/2021,On Time,76.89
ORD1595,8/18/2021,On Time,149.8
ORD1596,8/19/2021,On Time,135.81
ORD1597,8/20/2021,On Time,90.79
ORD1598,8/21/2021,On Time,148.03
ORD1599,8/22/2021,On Time,115.01
ORD1600,8/23/2021,On Time,124.2
ORD1601,8/24/2021,Late,53.15
ORD1602,8/25/2021,On Time,62.16
ORD1603,8/26/2021,On Time,113.31
ORD1604,8/27/2021,On Time,139.9
ORD1605,8/28/2021,On Time,112.37
ORD1606,8/29/2021,Late,63.4
ORD1607,8/30/2021,On Time,61.58
ORD1608,8/31/2021,On Time,134.42
ORD1609,9/1/2021,On Time,63.93
ORD1610,9/2/2021,On Time,102.02
ORD1611,9/3/2021,Late,53.71
ORD1612,9/4/2021,On Time,58.07
ORD1613,9/5/2021,Late,117.23
ORD1614,9/6/2021,On Time,118.92
ORD1615,9/7/2021,On Time,84.15
ORD1616,9/8/2021,Late,71.56
ORD1617,9/9/2021,On Time,131.37
ORD1618,9/10/2021,Late,71.71
ORD1619,9/11/2021,On Time,104.2
ORD1620,9/12/2021,On Time,146.82
ORD1621,9/13/2021,On Time,64.79
ORD1622,9/14/2021,On Time,144.09
ORD1623,9/15/2021,On Time,68.29
ORD1624,9/16/2021,Late,106.74
ORD1625,9/17/2021,Late,87.7
ORD1626,9/18/2021,Late,146.49
ORD1627,9/19/2021,On Time,77.35
ORD1628,9/20/2021,On Time,89.97
ORD1629,9/21/2021,On Time,148.29
ORD1630,9/22/2021,On Time,103.65
ORD1631,9/23/2021,On Time,100.26
ORD1632,9/24/2021,On Time,75.78
ORD1633,9/25/2021,On Time,120.14
ORD1634,9/26/2021,On Time,51.44
ORD1635,9/27/2021,On Time,54.95
ORD1636,9/28/2021,On Time,109.94
ORD1637,9/29/2021,On Time,84.17
ORD1638,9/30/2021,On Time,145.33
ORD1639,10/1/2021,Late,140.32
ORD1640,10/2/2021,On Time,121.37
ORD1641,10/3/2021,On Time,131.81
ORD1642,10/4/2021,On Time,116.73
ORD1643,10/5/2021,Late,62.56
ORD1644,10/6/2021,Late,126.55
ORD1645,10/7/2021,On Time,71.02
ORD1646,10/8/2021,On Time,82.34
ORD1647,10/9/2021,On Time,131.92
ORD1648,10/10/2021,On Time,103.65
ORD1649,10/11/2021,Late,135.99
ORD1650,10/12/2021,On Time,71.3
ORD1651,10/13/2021,On Time,110.78
ORD1652,10/14/2021,On Time,58.38
ORD1653,10/15/2021,On Time,114.31
ORD1654,10/16/2021,On Time,126.25
ORD1655,10/17/2021,Late,108.49
ORD1656,10/18/2021,Late,76.62
ORD1657,10/19/2021,On Time,53.13
ORD1658,10/20/2021,On Time,61.94
ORD1659,10/21/2021,On Time,112.23
ORD1660,10/22/2021,On Time,143.44
ORD1661,10/23/2021,On Time,70.65
ORD1662,10/24/2021,On Time,123.5
ORD1663,10/25/2021,Late,136.65
ORD1664,10/26/2021,On Time,102.09
ORD1665,10/27/2021,On Time,116.93
ORD1666,10/28/2021,On Time,131.5
ORD1667,10/29/2021,On Time,76.07
ORD1668,10/30/2021,On Time,79.69
ORD1669,10/31/2021,On Time,50.06
ORD1670,11/1/2021,On Time,146.31
